"Source Name","Source Type",Score,Conclusion,Configuration,Justification,Extension,"MIME Type","File Path"
drmv2.lic,File,"Likely Notable",,,"File has MIME type of application/x-msoffice",lic,application/x-msoffice,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/DRM/drmv2.lic"
drmv2.sst,File,"Likely Notable",,,"File has MIME type of application/x-msoffice",sst,application/x-msoffice,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/DRM/drmv2.sst"
maktoobTracking[1].htm,File,"Likely Notable",,,"File has MIME type of image/gif",htm,image/gif,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Local Settings/Temporary Internet Files/Content.IE5/PN0J7OQM/maktoobTracking[1].htm"
nmapNT.opt,File,"Likely Notable",,,"File has MIME type of application/x-msoffice",opt,application/x-msoffice,"/img_4Dell Latitude CPi.E01/vol_vol2/My Documents/FOOTPRINTING/NT/Nmapnt/nmapNT-src/nmapNT/nmapNT.opt"
nmapNT.opt,File,"Likely Notable",,,"File has MIME type of application/x-msoffice",opt,application/x-msoffice,"/img_4Dell Latitude CPi.E01/vol_vol2/My Documents/FOOTPRINTING/NT/nmapntsp1.zip/Nmapnt/nmapNT-src/nmapNT/nmapNT.opt"
Ad468x60.gzf,File,"Likely Notable",,,"File has MIME type of image/gif",gzf,image/gif,"/img_4Dell Latitude CPi.E01/vol_vol2/Program Files/GlobalSCAPE/CuteFTP/Ad468x60.gzf"
SUBACK.BIN,File,"Likely Notable",,,"File has MIME type of image/bmp",bin,image/bmp,"/img_4Dell Latitude CPi.E01/vol_vol2/WIN98/SUBACK.BIN"
comempty.dat,File,"Likely Notable",,,"File has MIME type of application/x-msoffice",dat,application/x-msoffice,"/img_4Dell Latitude CPi.E01/vol_vol2/WINDOWS/system32/Com/comempty.dat"
wmimgmt.msc,File,"Likely Notable",,,"File has MIME type of application/x-msoffice",msc,application/x-msoffice,"/img_4Dell Latitude CPi.E01/vol_vol2/WINDOWS/system32/wmimgmt.msc"
